source,target
430522,1251166
89328,67842
802792,942730
217386,437738
420060,664354
302996,17749
303811,248197
78920,56611
713701,138529
610441,152134
371741,370033
929160,364045
267451,358248
535555,312242
1359269,126364
92969,37043
47975,155595
877522,202152
575433,322018
1270742,8322
773228,480803
870079,904185
387172,585470
165040,917971
1245537,746956
1048217,708760
311946,653448
843593,1001815
371070,876421
291537,240541
235665,140742
478460,313753
22873,273899
26638,53864
536878,263508
25101,78578
905406,759386
7067,155190
1150938,187404
268734,268766
838738,1366075
841473,449219
251282,265420
562401,220197
73846,759241
117696,195377
337682,1002688
780075,256472
1111563,735925
525336,1048861
279882,686594
445289,80958
908953,232368
1858,345578
854755,376820
408854,408675
555407,690140
316963,360355
550411,590105
450778,1055512
762859,76195
153910,303467
85639,219345
878993,582753
261558,205920
405193,296816
415878,1320000
707560,748125
342277,585829
909391,699888
576482,282576
580934,652732
90551,303547
150430,399918
347727,873708
23807,12536
787925,41962
78297,386475
502682,343336
371435,372666
1304545,179931
22840,2843
559244,45123
1320938,435107
546249,140037
479451,248905
414554,300081
408772,442809
672537,824816
152632,124002
366904,366930
641508,393189
882016,566197
852130,1096596
966036,974877
1046496,1072046
199652,146609
494299,1068624
126595,938306
678425,678500
43054,36202
720342,82462
560554,46696
252177,588780
333154,118202
1086724,1487993
322637,117626
1077446,966138
1233705,313568
459390,514943
313293,19082
369448,249665
293084,109199
315546,445958
36891,61982
695201,356527
556077,790204
89021,633684
138383,138325
49457,569145
74332,197287
316468,139669
551465,551464
447819,456296
279750,545906
104345,767917
908242,534555
739627,137904
718013,454814
676803,191438
260923,536878
124635,309923
258265,258593
319704,384524
153040,611903
411525,1021239
545426,459079
672620,884407
1265898,347449
393668,465753
439238,135392
233613,552978
913173,771192
178022,60202
550681,717575
350425,775880
731671,139167
208933,188662
252848,238916
32732,60654
1027668,438369
735585,81404
1045308,779960
536543,266629
46163,420699
351629,996949
211318,10339
555435,413492
1197104,284714
45492,189166
724720,188928
349972,31099
139130,373813
1140636,379755
359380,274835
456979,637909
707836,221966
1025428,940377
186433,1257447
794978,1055371
840534,943356
1587900,1574689
500323,209518
550670,187702
453251,273470
589997,279984
61913,381037
612809,1076047
627235,607118
800290,806216
913861,190482
1366363,643495
747428,962257
224631,34652
869003,778937
191845,197611
919356,806902
578897,198175
477755,477694
8413,190652
326315,354039
929067,580779
230465,303695
130314,125583
271369,336151
265985,100639
83254,117335
84957,82424
1044970,315319
95827,638057
240090,463162
461048,117924
814438,587129
254765,191991
568103,346235
486632,38684
557418,183674
58962,359407
703122,227586
311528,269870
538001,341249
639619,198441
141170,389117
749246,944984
183548,761853
563556,1200219
121827,926379
807496,136730
653467,766234
842821,444150
502194,118949
140728,393501
455981,448047
377612,114760
1356783,1141820
711390,65635
112243,302532
84544,84721
266320,444047
2843,70410
1006363,1413147
162882,682965
689958,427790
354452,314907
367013,517782
427771,743646
8999,41259
119893,119932
209353,324198
861343,497737
72084,748394
108682,721397
54296,601313
124919,638106
880991,429713
414456,1319450
583665,734227
378890,420824
1311182,694046
368961,1077795
1040115,1319603
947448,429449
66238,386569
1281832,762752
91954,124112
51820,543566
116270,351619
9,121505
18322,25387
344038,360538
340435,411992
387652,138345
241117,161345
580823,751536
571642,989575
1013868,725378
212965,39598
799593,461776
196930,810598
976956,538986
840462,183088
758257,90762
266109,266120
218862,403631
312856,18616
1143661,686364
56143,647030
2863,17679
384467,694394
253481,337763
826928,309869
717887,180615
68098,575901
155708,445127
6035,16612
302343,201908
242861,774455
1443690,1122908
213869,47835
709447,405489
570182,157471
565748,1029489
255972,256751
711541,792554
276457,799843
406365,392380
395685,655201
56418,16571
327605,621625
481030,315482
84745,761786
248181,1061621
191836,240019
246155,488366
696235,137777
464572,68074
669718,186765
565311,155085
813434,322723
1060788,582007
474111,622862
1134201,531969
48270,462462
529497,771556
16782,294277
165395,808593
144551,476453
676458,1616635
1439746,752912
19813,19562
867075,210356
638309,55472
1386671,960099
749161,1149941
1891,135680
860869,216600
130507,210721
115065,332572
26101,65089
657512,463993
212420,48664
224095,203754
423407,445606
522802,441680
128674,113119
220476,93349
204167,816315
191904,684962
272570,205643
948156,1529781
712008,257440
124384,419857
226163,750869
93897,94836
602308,80320
352594,170958
161825,624062
1099791,203988
508436,668386
1400350,553109
1132924,583422
326979,233977
274572,1194347
78012,133122
409608,137899
785232,79425
84585,561277
87455,412457
1549113,1374215
731856,1166680
138995,338401
130374,861275
521565,383184
463436,201264
771334,422343
623488,461016
198085,460686
155586,502119
93379,93246
976283,172546
344061,890303
576716,693121
339597,380586
112112,78463
812996,402016
673027,927634
1116020,1054514
385900,1005061
319077,711933
558155,639201
555995,235693
204191,1030018
184084,1040320
316992,449594
181008,296819
121542,116960
671750,480463
629792,121715
90531,832576
51388,51390
402129,60858
810133,881855
1028454,702025
311074,1095724
5567,122098
120955,804001
174838,320146
1235755,849211
993895,1332791
442302,833125
1407776,1337169
193872,205497
766746,348670
1086075,1060967
798602,856969
12,364
70033,251882
673870,1055445
121301,323479
15326,78876
356646,125061
1017660,1347686
387699,160237
141948,63229
189455,964695
360066,76172
490518,336008
507918,442995
833188,91790
544088,766434
438232,382850
1331873,899735
380703,183625
570926,130532
1167320,1072193
538028,52331
12948,113046
135721,491805
95497,847717
926434,153532
23254,358494
162725,44569
557402,1107810
336775,252249
663909,233295
605484,913854
324042,206916
513760,512929
828582,438453
638229,694483
480988,431114
398885,929562
993521,1265779
256931,888360
505565,108125
329947,167918
71414,657598
82398,796297
933345,449465
13,159316
65300,312480
704318,84110
397962,399127
1041627,267088
523301,396542
314359,357457
399560,516341
663216,1420165
1327981,428050
412146,412147
559838,639769
530088,605864
433734,271205
1007344,1007331
369956,429938
1002300,367529
174247,154598
269477,417545
964896,696379
210065,266762
287775,361083
649900,56595
1035006,168075
134091,132385
218094,824830
515233,300118
1069248,183257
16,427
382233,303903
84243,278278
1602881,1335196
500599,383796
788008,445283
245219,725304
180554,1064915
456439,607289
1061996,179110
117495,341804
367190,187168
293368,526704
382853,113642
227512,690060
609689,51843
970287,637550
575206,564492
1151280,963536
281248,752652
71857,279034
23407,846
887272,630252
10745,218237
580103,1412964
1061635,596649
169149,354562
571554,236707
661565,414474
27387,27304
351790,359052
1073420,771110
417738,846049
29115,43835
25994,389873
990191,148006
560701,166788
146982,810473
101231,239989
384052,40023
139215,170035
1087273,194281
532484,1046823
420737,259773
902943,962966
692759,72263
116635,351295
102534,475484
350590,234798
194016,577678
151373,376335
301327,21332
24685,295779
506946,128059
241409,230066
631038,661856
174667,106388
536122,265779
750024,472202
296211,16825
1168729,1121659
701126,63865
570578,713870
1136429,225690
188270,598411
1072117,469651
688174,1113792
426120,30747
182709,335483
579857,631150
328800,20720
184510,209959
699665,301484
533500,123397
266715,514113
411150,302210
428533,624987
59051,31168
396675,341480
521931,406499
876216,783072
503516,70067
542636,453191
55199,639971
1234911,1285790
347496,1516310
19,495
376476,411420
133507,133347
97742,221716
349274,477708
93352,293190
691684,339613
1176160,1136540
414898,156749
143661,90862
88323,88595
676490,597854
932450,585491
130428,191317
685117,125179
177245,541877
84977,83646
419531,31721
300275,597405
506882,514789
59911,25536
286330,870432
1213335,290832
639496,337741
223798,11810
500241,860936
486227,268269
537290,385337
78449,508588
485331,645239
176549,320624
460735,527094
333534,165570
860016,419301
1191973,1102928
557675,747792
435656,468396
244122,280255
332467,820167
275169,404602
38927,123593
506029,779562
1482831,760156
362701,190575
93843,9855
592159,278266
424753,157354
303100,649369
300293,187357
496584,537560
186743,510905
24967,45872
430058,511491
366021,863019
1328668,596940
250475,126435
266198,878454
270171,571595
91307,192990
336899,111069
1089410,196307
1057786,647710
835858,334916
425089,548457
1011183,547914
88534,221600
278211,467633
438298,381318
726318,126776
274273,911999
289170,413577
610072,624785
626742,354678
645391,55890
258287,378809
354182,634434
294254,876218
291323,455623
272331,761927
29685,29708
358084,816134
64042,118675
480401,464275
77424,22218
479216,743382
282393,27510
318796,24798
515981,891200
43273,184504
705846,472258
322721,800985
267551,294632
173770,193101
52006,601134
721713,499214
288358,492150
17366,259545
153471,38476
614666,571577
310306,151195
470763,360651
277695,390958
1120479,832405
111176,47452
406194,655270
432063,289201
119359,344388
312394,395803
336790,220570
95797,851182
1290312,515139
322775,605241
339061,461723
522648,104065
667681,261719
299507,648679
431017,758261
549968,750177
651312,259313
348882,167156
20822,3571
122550,373503
239636,54474
1030163,827857
320684,507679
42528,32161
126901,939641
546683,182150
730475,856087
521797,682804
595915,108033
558071,194024
238566,910561
776147,421373
343120,311505
300924,178286
414268,943075
176402,177532
1421412,1446868
647756,567312
168955,1037759
483502,110636
594890,360217
274521,803931
8514,158227
237257,240018
669945,434526
594379,365033
255760,476053
337173,934691
46284,570193
863862,663006
1014340,159796
81615,231846
690756,62145
69847,327440
304335,341168
554990,1302395
361134,356734
148120,228497
76716,144267
390615,1187166
745373,765768
121013,215862
162934,361016
54641,634140
382712,607621
687257,1183544
85772,572288
114134,444502
802785,985582
724032,929504
602541,195902
43061,186202
767396,83754
534795,338239
508442,269389
1028036,1306601
146899,129593
8935,46366
51019,126634
859500,528123
87977,49167
702023,82508
703851,247327
247682,465156
273555,290993
262820,871548
401515,387365
47761,583345
1891,119263
254969,336002
238726,124072
361663,679264
150137,410408
117467,690183
718549,12089
136620,203106
179870,31152
214034,419217
377937,814006
412002,570324
81988,558735
528839,169558
222536,827250
138513,174046
624750,613334
97133,76820
308694,30079
327842,417128
389590,87207
797495,628272
663237,334453
64464,67705
401217,63018
1127089,922605
154683,202900
1109068,208915
1163082,1308953
307299,125263
180235,70551
1228492,947043
52589,320225
328720,503279
45987,56405
1125175,324445
5277,322993
382156,983277
725712,110220
532909,575110
870583,549415
975037,894367
404651,1482256
223966,259330
1210582,840933
305298,541296
116695,6017
503265,476291
159980,656883
679816,1006016
416091,249035
1123323,1164796
310594,409813
540790,1087227
104209,143568
1432806,1614296
813800,591202
155336,703364
378004,416449
72448,523838
1144239,1054018
178069,1022347
1301413,709572
63738,966727
307441,637656
898460,66276
424819,824361
24165,3377
146761,556668
249681,1166860
1000037,471972
479282,1127761
780811,453003
138986,968132
186543,121852
600763,51631
115314,333248
273099,988367
171406,199991
668641,1453471
141481,378925
583561,610911
304151,101869
73373,231288
84659,122252
624259,294425
611037,315426
743284,1421345
1130917,447164
905497,792586
44022,67920
95797,496260
569236,450846
185636,190804
167973,219841
122026,149838
339346,757012
762672,233037
1028102,25597
411073,302429
133899,820397
111853,35551
40632,77029
826660,494218
435854,248713
268726,1113880
146171,308575
730845,1479988
639580,96466
54273,214371
403027,444341
880494,175198
15901,284870
1177225,964215
316778,114873
116049,116195
123969,220331
616454,370000
729194,870327
325278,325276
321764,313616
4486,761640
8728,136194
302613,328436
206944,228921
312561,312472
372868,70943
204276,204280
183503,267561
567120,601948
241600,477159
255124,150043
624152,189915
65529,696491
820359,281333
65168,112382
548651,52882
7241,42902
619591,427134
12262,11320
151487,650149
66243,208881
814182,86294
376339,430487
607424,660684
640606,835461
216974,478491
509483,279571
292314,606369
506496,405688
894067,513103
173909,761308
160166,159943
64091,67190
488918,50311
1052311,919262
453585,829793
519826,562223
779670,542501
9770,9658
765218,180410
169398,603697
945787,1098868
392306,118006
653106,669100
482025,481987
159558,159403
538026,287240
309427,430325
676074,352944
7088,57556
631716,1436966
620683,943202
263048,263047
741090,109119
587830,878303
470227,795087
345779,189283
12623,244694
543845,1011723
396626,225073
106113,822247
630948,452296
1271143,1227725
95498,101573
97169,419463
583289,404607
611177,836362
106924,121348
608849,644186
307708,307853
459512,561153
379090,1007346
260315,624955
106238,89883
207527,650384
142025,627552
52257,275596
1095723,1187835
31358,158073
824405,157101
402687,33633
126709,126650
34527,456429
453514,644685
783153,354766
40995,523387
6242,483429
29350,233944
822309,579788
147897,6643
607634,607607
827177,131192
398459,301758
809438,129926
9982,137936
166940,241221
504650,512777
230611,303594
480806,256600
93000,163873
174116,489589
132571,147680
620589,1005707
966434,369901
75526,766037
1329173,430638
1002523,216485
117717,70572
671334,1561670
285433,371501
142430,842306
127007,131995
95048,105342
55966,36205
83352,870534
30577,426232
706883,1407259
686106,173844
346820,811103
17174,39319
332458,839590
218607,437777
78017,73815
219924,69697
239044,129622
847671,308472
983981,210288
630291,259253
959839,279575
235168,128173
827655,963039
47856,89556
559006,335779
281096,567461
114348,906102
841666,910713
226701,54231
297283,626647
382424,665765
410695,173194
78064,411781
1090928,210594
690513,706309
998765,692569
428824,428825
287038,509306
733310,476420
85468,810864
662149,58343
53013,618837
446728,420121
868812,571171
1378536,1104956
157586,553770
223638,405475
565353,792055
80515,751641
554747,649111
974834,420362
556793,393786
596183,596386
226215,139982
697750,289207
62706,694027
991958,408076
920722,534584
66448,190321
1075122,1261911
31599,25913
875175,124810
29275,21233
267980,410308
336703,489598
1103687,1103437
1385214,1319597
219492,309628
455764,43806
304875,304847
326660,375602
381937,382028
108237,408258
565804,66021
377282,445159
480241,481477
874164,745851
493675,592651
373411,374158
57301,88211
26,9340
654370,184697
300052,73802
632473,652512
223800,1137998
131074,382550
440163,688137
660864,1142020
429363,396872
837877,1545879
379213,943973
100356,563449
388656,230483
276442,705970
292448,1102772
335477,618826
451814,246438
142077,280386
99169,643205
13687,257722
740125,790641
242677,196957
426558,1121566
907885,652822
82883,3346
377918,629478
351355,336177
253562,412363
238506,567632
155573,1005535
290609,295744
532898,338990
181049,250197
194064,390703
120081,920063
870109,1067501
545323,916912
65710,12093
260417,839876
681345,61030
469035,833167
738341,1067664
514091,214251
297988,986335
21445,581046
16330,473
1282898,455015
215743,132353
118812,1177615
568540,647521
23934,20005
493126,752895
447375,954981
387730,420276
21728,40729
179980,383682
889873,1174064
269165,132936
31660,22051
60420,678877
605226,50950
348919,276303
350672,22472
11450,228823
634729,381252
378554,201447
260490,43557
725064,394958
1527504,459122
314475,972008
447307,288844
1363472,485753
170097,7675
144963,553867
156352,359009
435689,66253
84550,3542
107081,1100630
391534,192002
277819,181986
773058,623352
136076,76643
1153496,540927
260950,261309
773638,65775
376442,977181
79951,240843
154771,296312
496186,553122
128952,307489
130500,487613
1019988,1301880
522576,410616
277045,79810
665724,803145
1069512,784289
666174,469255
307657,227765
460804,185933
946534,576760
477916,877877
476975,600512
274895,103967
222300,330387
312604,42742
684700,681117
447178,669537
18121,25870
885203,331140
910795,53493
983244,1063979
200380,226935
671046,820122
363975,165749
728800,852500
228408,391966
454013,622032
293661,487596
528885,621999
1058201,753333
539991,250206
110618,110698
1127299,239116
108033,223912
619527,533840
541443,680091
286069,1070011
501216,243334
367363,459371
79047,782532
341549,585759
662172,1126074
32702,32711
112240,617589
510874,519197
70110,544807
787336,486682
738970,1469547
577899,517817
475439,936604
115234,92538
301579,163630
535480,372714
128322,306667
81085,744652
778980,915981
113831,116693
831762,831760
97454,286331
198032,29955
435083,606723
230908,426639
660008,212436
189711,192415
412652,51831
599758,289760
316489,382200
758715,438625
26019,38641
813967,725067
92029,710725
182484,182399
88039,85980
291341,1064197
932496,228853
588812,661815
84895,168618
535489,332022
180587,766197
104376,946748
630206,54061
793582,415370
891113,1440959
1309396,399377
134198,143623
199637,63395
658435,514959
173195,45910
524039,249535
800925,185530
734746,717392
301168,58143
524086,273931
1327896,1224506
71987,617399
435187,469937
580594,131953
782505,26467
575799,669482
387980,26349
95685,129384
11232,515258
714742,255659
230697,456854
978291,287814
527012,347006
312658,57602
382265,189802
156836,891838
74324,761137
35734,376820
450247,881210
612751,476782
281485,61076
1057173,854005
238438,513481
350497,260326
949143,1179654
104189,4536
185240,1072694
698550,839776
46299,173581
745231,81240
170045,7749
412934,223749
151254,62954
9341,192270
143680,218330
219143,489971
839143,847657
283784,481558
595359,1420761
646371,508206
49294,49366
617073,215960
283356,1009107
207638,546553
1289827,150092
584540,1415377
246588,713128
572486,783929
687942,272864
12009,10574
416854,316569
766015,282922
882481,107028
333039,333069
955654,825935
424793,440867
821847,1025596
525804,85044
416611,405066
725913,671929
121567,43037
516537,695529
707765,429872
519159,43806
375259,375299
1155678,437297
24739,5938
589611,353122
429912,288302
1017143,160915
