database,workload,clients,iterations,successful,failed,throughput_ops_sec,p50_ms,p95_ms
arangodb,1-hop,1,100,100,0,0.0,46.17329999746289,52.63090000262309
cognodb,1-hop,1,100,100,0,0.0,259.43379999807803,262.4969150001561
falkordb,1-hop,1,100,100,0,0.0,18.37474999774713,27.50819999637315
memgraph,1-hop,1,100,100,0,0.0,36.03945000213571,50.48607499811624
neo4j,1-hop,1,100,100,0,0.0,6.435549999878276,10.76681500126142
arangodb,2-hop,1,100,100,0,0.0,47.18435000177124,51.77790999841818
cognodb,2-hop,1,100,100,0,0.0,261.519199997565,277.9984999975568
falkordb,2-hop,1,100,100,0,0.0,18.518549997679656,24.5110100000602
memgraph,2-hop,1,100,100,0,0.0,33.6508500004129,45.48919999651844
neo4j,2-hop,1,100,100,0,0.0,7.642399999895133,11.732445002053282
arangodb,3-hop,1,100,100,0,0.0,59.83059999925899,109.03014999785228
cognodb,3-hop,1,100,100,0,0.0,367.42455000421614,754.3547200039029
falkordb,3-hop,1,100,100,0,0.0,20.37030000064988,27.01813499988929
memgraph,3-hop,1,100,100,0,0.0,36.10385000138194,48.517329997775946
neo4j,3-hop,1,100,100,0,0.0,8.657400001538917,13.567354997576327
arangodb,aggregation,1,100,100,0,0.0,54.40364999958547,59.27072000631597
cognodb,aggregation,1,100,100,0,0.0,259.0240999998059,261.0308500035899
falkordb,aggregation,1,100,100,0,0.0,0.833099998999387,1.4485100018646335
memgraph,aggregation,1,100,100,0,0.0,39.97489999892423,52.47681000146257
neo4j,aggregation,1,100,100,0,0.0,3.053050000744406,4.704429999037529
arangodb,mixed_read_write,1,25,25,0,21.740795968804097,44.15069999959087,47.44139999966137
cognodb,mixed_read_write,1,25,25,0,2.8314760285208447,247.69269999524116,400.1683199981926
falkordb,mixed_read_write,1,25,25,0,39.70785186223095,19.46070000121836,34.46583999902941
memgraph,mixed_read_write,1,25,25,0,15.798116750727484,59.43499999557389,99.83977999945635
neo4j,mixed_read_write,1,25,25,0,104.8981124622262,4.042299995489884,9.30394000170054
arangodb,mixed_read_write,10,250,250,0,189.4327874656444,47.70529999950668,53.48078999777499
cognodb,mixed_read_write,10,250,250,0,22.465912672893403,273.587250001583,731.3971249994212
falkordb,mixed_read_write,10,250,250,0,60.42454089067398,35.02250000019558,502.0395449992066
memgraph,mixed_read_write,10,250,250,0,49.768120373561565,168.65355000118143,351.3830400021107
neo4j,mixed_read_write,10,250,250,0,366.8589056250078,17.09889999983716,60.33956499959461
arangodb,mixed_read_write,40,1000,1000,0,390.71272721688223,79.12949999808916,113.7316500000452
cognodb,mixed_read_write,40,1000,1000,0,29.52888111195203,283.4371499957342,3836.019134997696
falkordb,mixed_read_write,40,1000,997,3,65.70403424681054,35.417500002949964,2109.9736799995303
memgraph,mixed_read_write,40,1000,1000,0,53.51566305256718,307.97815000187256,2325.437905002399
neo4j,mixed_read_write,40,1000,1000,0,604.495110268962,46.22720000043046,114.02919999927684
arangodb,point_lookup,1,100,100,0,0.0,44.10990000178572,48.0944150043797
cognodb,point_lookup,1,100,100,0,0.0,259.4679499998165,262.2286349953356
falkordb,point_lookup,1,100,100,0,0.0,17.94599999630009,27.21353500128316
memgraph,point_lookup,1,100,100,0,0.0,32.88485000302899,43.67119999660644
neo4j,point_lookup,1,100,100,0,0.0,3.35954999900423,4.261119995862828
