database,workload,clients,throughput_ops_sec,p50_ms,p95_ms,failed
arangodb,mixed_read_write,1,21.740795968804097,44.15069999959087,47.44139999966137,0
cognodb,mixed_read_write,1,2.8314760285208447,247.69269999524116,400.1683199981926,0
falkordb,mixed_read_write,1,39.70785186223095,19.46070000121836,34.46583999902941,0
memgraph,mixed_read_write,1,15.798116750727484,59.43499999557389,99.83977999945635,0
neo4j,mixed_read_write,1,104.8981124622262,4.042299995489884,9.30394000170054,0
arangodb,mixed_read_write,10,189.4327874656444,47.70529999950668,53.48078999777499,0
cognodb,mixed_read_write,10,22.465912672893403,273.587250001583,731.3971249994212,0
falkordb,mixed_read_write,10,60.42454089067398,35.02250000019558,502.0395449992066,0
memgraph,mixed_read_write,10,49.768120373561565,168.65355000118143,351.3830400021107,0
neo4j,mixed_read_write,10,366.8589056250078,17.09889999983716,60.33956499959461,0
arangodb,mixed_read_write,40,390.71272721688223,79.12949999808916,113.7316500000452,0
cognodb,mixed_read_write,40,29.52888111195203,283.4371499957342,3836.019134997696,0
falkordb,mixed_read_write,40,65.70403424681054,35.417500002949964,2109.9736799995303,3
memgraph,mixed_read_write,40,53.51566305256718,307.97815000187256,2325.437905002399,0
neo4j,mixed_read_write,40,604.495110268962,46.22720000043046,114.02919999927684,0
